id,user_id,community_id,role,joined_at
m1111111-1111-1111-1111-111111111111,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,11111111-1111-1111-1111-111111111111,admin,2024-08-01 10:00:00
m2222222-2222-2222-2222-222222222222,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,11111111-1111-1111-1111-111111111111,member,2024-09-01 10:00:00
m3333333-3333-3333-3333-333333333333,c2eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,11111111-1111-1111-1111-111111111111,moderator,2024-08-16 10:00:00
m4444444-4444-4444-4444-444444444444,d3eebc99-9c0b-4ef8-bb6d-6bb9bd380a14,11111111-1111-1111-1111-111111111111,member,2024-09-15 10:00:00
m5555555-5555-5555-5555-555555555555,e4eebc99-9c0b-4ef8-bb6d-6bb9bd380a15,11111111-1111-1111-1111-111111111111,member,2024-10-01 10:00:00
m6666666-6666-6666-6666-666666666666,c2eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,22222222-2222-2222-2222-222222222222,admin,2024-08-06 10:00:00
m7777777-7777-7777-7777-777777777777,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,22222222-2222-2222-2222-222222222222,member,2024-08-11 10:00:00
m8888888-8888-8888-8888-888888888888,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,22222222-2222-2222-2222-222222222222,member,2024-08-21 10:00:00
m9999999-9999-9999-9999-999999999999,f5eebc99-9c0b-4ef8-bb6d-6bb9bd380a16,22222222-2222-2222-2222-222222222222,member,2024-10-11 10:00:00
ma111111-1111-1111-1111-111111111111,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,33333333-3333-3333-3333-333333333333,admin,2024-08-11 10:00:00
mb222222-2222-2222-2222-222222222222,d3eebc99-9c0b-4ef8-bb6d-6bb9bd380a14,33333333-3333-3333-3333-333333333333,member,2024-09-15 10:00:00
mc333333-3333-3333-3333-333333333333,e4eebc99-9c0b-4ef8-bb6d-6bb9bd380a15,33333333-3333-3333-3333-333333333333,member,2024-10-01 10:00:00
md444444-4444-4444-4444-444444444444,06eebc99-9c0b-4ef8-bb6d-6bb9bd380a17,33333333-3333-3333-3333-333333333333,member,2024-10-16 10:00:00
me555555-5555-5555-5555-555555555555,17eebc99-9c0b-4ef8-bb6d-6bb9bd380a18,33333333-3333-3333-3333-333333333333,member,2024-10-21 10:00:00
mf666666-6666-6666-6666-666666666666,c2eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,44444444-4444-4444-4444-444444444444,admin,2024-08-21 10:00:00
mg777777-7777-7777-7777-777777777777,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,44444444-4444-4444-4444-444444444444,member,2024-08-26 10:00:00
mh888888-8888-8888-8888-888888888888,e4eebc99-9c0b-4ef8-bb6d-6bb9bd380a15,44444444-4444-4444-4444-444444444444,member,2024-10-01 10:00:00
mi999999-9999-9999-9999-999999999999,d3eebc99-9c0b-4ef8-bb6d-6bb9bd380a14,55555555-5555-5555-5555-555555555555,admin,2024-08-26 10:00:00
mj111111-1111-1111-1111-111111111111,f5eebc99-9c0b-4ef8-bb6d-6bb9bd380a16,55555555-5555-5555-5555-555555555555,member,2024-10-11 10:00:00
mk222222-2222-2222-2222-222222222222,06eebc99-9c0b-4ef8-bb6d-6bb9bd380a17,55555555-5555-5555-5555-555555555555,member,2024-10-16 10:00:00
ml333333-3333-3333-3333-333333333333,e4eebc99-9c0b-4ef8-bb6d-6bb9bd380a15,66666666-6666-6666-6666-666666666666,admin,2024-09-06 10:00:00
mm444444-4444-4444-4444-444444444444,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,66666666-6666-6666-6666-666666666666,member,2024-09-11 10:00:00
mn555555-5555-5555-5555-555555555555,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,66666666-6666-6666-6666-666666666666,member,2024-09-21 10:00:00
